id,product_id,color,size,stock,price,note
117,59,Đen,L,108,192990,
118,59,Đen,M,48,193014,
119,60,Trắng,M,28,247325,
120,60,Trắng,L,123,251227,
121,61,Đen,L,70,313464,
122,61,Trắng,L,54,308892,
123,62,Đen,M,33,62687,
124,62,Đen,M,97,53638,
125,63,Đen,L,90,156819,
126,63,Trắng,M,75,153413,
127,64,Đen,L,31,452205,
128,64,Trắng,L,122,450835,
129,65,Trắng,M,25,107699,
130,65,Đen,L,127,101538,
131,66,Trắng,L,77,123029,
132,66,Trắng,M,144,129504,
133,67,Trắng,M,75,186053,
134,67,Đen,L,102,192543,
135,68,Trắng,M,139,246283,
136,68,Trắng,L,121,246840,
137,69,Đen,M,94,317191,
138,69,Trắng,M,137,314467,
139,70,Trắng,M,21,56557,
140,70,Đen,L,89,64468,
141,71,Trắng,L,116,145452,
142,71,Trắng,L,97,156913,
143,72,Đen,L,134,459534,
144,72,Đen,L,147,459088,
145,73,Trắng,M,78,103670,
146,73,Trắng,M,143,105080,
147,74,Trắng,M,77,123834,
148,74,Trắng,L,131,123559,
149,75,Đen,L,97,182694,
150,75,Trắng,M,150,180673,
151,76,Trắng,L,87,255028,
152,76,Đen,L,64,247787,
153,77,Trắng,M,76,319611,
154,77,Trắng,L,71,318501,
155,78,Trắng,M,130,55865,
156,78,Đen,L,42,59086,
157,79,Trắng,M,67,148473,
158,79,Đen,L,90,151472,
159,80,Đen,L,28,450450,
160,80,Đen,L,123,446396,
161,81,Trắng,L,140,101319,
162,81,Đen,M,30,94716,
163,82,Trắng,M,122,115990,
164,82,Đen,L,86,117888,
165,83,Trắng,L,106,189711,
166,83,Trắng,M,118,182694,
167,84,Trắng,L,119,254807,
168,84,Trắng,L,81,246315,
169,85,Đen,L,147,308230,
170,85,Đen,L,70,310815,
171,86,Đen,M,143,50247,
172,86,Đen,L,111,63163,
173,87,Đen,M,150,159352,
174,87,Trắng,L,31,158038,
175,88,Đen,L,80,457624,
176,88,Trắng,L,90,457966,
177,89,Đen,L,100,103912,
178,89,Trắng,M,81,108822,
179,90,Trắng,M,104,123850,
180,90,Đen,L,27,124493,
181,91,Trắng,L,24,189326,
182,91,Đen,M,66,194813,
183,92,Trắng,L,124,247503,
184,92,Đen,M,36,251948,
185,93,Đen,L,131,307448,
186,93,Trắng,M,71,315967,
187,94,Trắng,M,62,55442,
188,94,Đen,M,81,63034,
189,95,Đen,M,130,156287,
190,95,Trắng,L,75,150648,
191,96,Trắng,L,145,454867,
192,96,Trắng,M,111,446105,
193,97,Đen,L,116,104321,
194,97,Trắng,L,20,106219,
195,98,Đen,L,67,124926,
196,98,Đen,L,130,128709,
197,99,Trắng,L,114,180551,
198,99,Trắng,M,149,185370,
199,100,Đen,L,35,256537,
200,100,Trắng,M,82,248020,
201,101,Trắng,M,97,309407,
202,101,Đen,L,112,315107,
203,102,Trắng,M,119,61610,
204,102,Trắng,M,62,64529,
205,103,Trắng,L,69,148091,
206,103,Trắng,L,116,156992,
207,104,Đen,L,47,446302,
208,104,Đen,L,98,459032,
209,105,Trắng,M,52,105710,
210,105,Đen,L,93,101712,
211,106,Đen,L,40,116756,
212,106,Đen,M,60,118170,
213,107,Đen,L,55,182620,
214,107,Đen,M,90,192097,
215,108,Đen,M,74,257156,
216,108,Đen,M,67,246247,
217,109,Trắng,L,108,310302,
218,109,Trắng,L,97,313980,
219,110,Trắng,L,142,60830,
220,110,Đen,M,40,59146,
221,111,Trắng,M,81,156758,
222,111,Đen,L,98,145301,
223,112,Đen,L,102,454941,
224,112,Trắng,M,150,445598,
225,113,Trắng,M,21,102766,
226,113,Đen,L,54,104779,
227,114,Trắng,M,58,129606,
228,114,Đen,L,107,123191,
229,115,Trắng,M,120,191283,
230,115,Trắng,L,114,180979,
231,116,Trắng,L,71,245023,
232,116,Đen,M,21,247132,
233,117,Trắng,L,47,307825,
234,117,Đen,M,83,315434,
235,118,Trắng,L,87,63010,
236,118,Đen,L,63,62919,
237,119,Trắng,M,142,153878,
238,119,Đen,L,95,155449,
239,120,Đen,M,29,455578,
240,120,Đen,M,47,451177,
241,121,Đen,M,88,97594,
242,121,Đen,M,82,105171,
243,122,Trắng,L,119,127397,
244,122,Trắng,L,53,124452,
245,123,Trắng,M,106,189356,
246,123,Trắng,M,48,188008,
247,124,Đen,L,73,259910,
248,124,Đen,L,129,256702,
249,125,Đen,M,102,312789,
250,125,Trắng,L,39,313481,
251,126,Đen,M,104,54548,
252,126,Trắng,M,127,61798,
253,127,Đen,L,65,145786,
254,127,Trắng,M,98,146654,
255,128,Đen,M,49,450534,
256,128,Đen,L,106,452428,
257,129,Đen,L,38,106853,
258,129,Đen,L,66,101968,
259,130,Trắng,L,74,122541,
260,130,Đen,M,149,115118,
261,131,Đen,M,116,189475,
262,131,Trắng,M,134,181992,
263,132,Trắng,L,132,250582,
264,132,Trắng,M,113,255315,
265,133,Đen,M,73,305043,
266,133,Đen,L,133,309306,
267,134,Trắng,L,146,50940,
268,134,Trắng,L,77,61783,
269,135,Đen,M,80,149440,
270,135,Đen,L,123,152652,
271,136,Trắng,L,119,449146,
272,136,Trắng,M,137,456783,
273,137,Đen,L,78,102872,
274,137,Trắng,L,63,107793,
275,138,Trắng,M,100,128624,
276,138,Đen,L,116,120987,
277,139,Trắng,L,123,191256,
278,139,Trắng,L,76,194300,
279,140,Đen,M,58,251778,
280,140,Trắng,M,88,245758,
281,141,Đen,L,109,313143,
282,141,Trắng,L,141,314737,
283,142,Trắng,M,78,56309,
284,142,Đen,M,109,61412,
285,143,Trắng,M,44,155166,
286,143,Trắng,L,71,156684,
287,144,Đen,M,87,452320,
288,144,Đen,M,62,459202,
289,145,Đen,L,64,108607,
290,145,Trắng,L,146,101147,
291,146,Trắng,M,36,126702,
292,146,Trắng,M,43,120570,
293,147,Đen,M,83,194714,
294,147,Trắng,L,148,191122,
295,148,Đen,M,40,255862,
296,148,Đen,L,67,245304,
297,149,Đen,M,139,311154,
298,149,Trắng,M,125,311671,
299,150,Trắng,L,109,62413,
300,150,Đen,L,90,62659,
301,151,Trắng,L,68,147894,
302,151,Trắng,M,57,149627,
303,152,Đen,M,27,452054,
304,152,Trắng,L,116,450261,
305,153,Trắng,L,25,103095,
306,153,Trắng,M,59,108228,
307,154,Đen,M,141,119909,
308,154,Đen,L,116,117049,
309,155,Đen,L,97,190331,
310,155,Trắng,L,63,194822,
311,156,Đen,L,72,247519,
312,156,Đen,M,79,255443,
313,157,Đen,L,145,306652,
314,157,Trắng,M,130,313636,
315,158,Đen,L,112,62446,
316,158,Trắng,M,80,54616,
317,159,Đen,M,26,146360,
318,159,Đen,L,137,157954,
319,160,Trắng,L,95,447537,
320,160,Đen,M,111,448880,
321,161,Đen,M,45,108515,
322,161,Đen,L,39,99117,
323,162,Trắng,L,145,119583,
324,162,Trắng,M,121,122697,
325,163,Trắng,L,87,189451,
326,163,Đen,L,116,181402,
327,164,Đen,L,125,245638,
328,164,Trắng,M,84,255344,
329,165,Trắng,M,35,313701,
330,165,Trắng,L,138,306744,
331,166,Đen,M,131,62858,
332,166,Đen,L,145,52431,
333,167,Đen,M,44,157174,
334,167,Trắng,L,98,156697,
335,168,Đen,M,86,447237,
336,168,Đen,L,85,456736,
337,169,Trắng,L,65,103408,
338,169,Đen,L,139,108659,
339,170,Đen,M,71,124216,
340,170,Trắng,M,78,120739,
341,171,Trắng,L,82,192709,
342,171,Trắng,M,69,191166,
343,172,Đen,M,113,248652,
344,172,Đen,M,92,251265,
345,173,Trắng,L,99,319803,
346,173,Đen,L,71,317422,
347,174,Trắng,L,80,64520,
348,174,Đen,L,95,59667,
349,175,Trắng,M,69,153848,
350,175,Trắng,M,98,153588,
351,176,Đen,L,134,454423,
352,176,Trắng,M,118,455305,
353,177,Trắng,M,72,108083,
354,177,Đen,M,80,108636,
355,178,Trắng,L,116,117944,
356,178,Trắng,L,100,116476,
357,179,Trắng,M,51,188057,
358,179,Đen,M,143,186381,
359,180,Đen,M,38,249939,
360,180,Đen,M,36,256846,
361,181,Trắng,M,32,310991,
362,181,Đen,L,85,307767,
363,182,Trắng,M,98,52805,
364,182,Đen,L,21,53820,
365,183,Đen,L,148,157468,
366,183,Đen,M,35,155952,
367,184,Trắng,M,60,455289,
368,184,Trắng,L,97,453312,
369,185,Trắng,M,149,100105,
370,185,Trắng,L,23,97679,
371,186,Trắng,L,138,126498,
372,186,Đen,M,77,117795,
373,187,Đen,L,85,190747,
374,187,Đen,M,117,191584,
375,188,Trắng,L,106,246055,
376,188,Trắng,L,83,249879,
377,189,Đen,M,90,317924,
378,189,Đen,L,69,305126,
379,190,Trắng,L,48,53787,
380,190,Đen,L,69,59375,
381,191,Đen,M,45,153194,
382,191,Đen,L,28,157852,
383,192,Trắng,M,54,451336,
384,192,Trắng,L,74,450378,
385,193,Trắng,L,96,105978,
386,193,Trắng,M,101,105625,
387,194,Đen,M,57,118890,
388,194,Trắng,M,51,116909,
389,195,Trắng,M,82,185112,
390,195,Trắng,M,127,190663,
391,196,Đen,L,35,248508,
392,196,Đen,L,125,246178,
393,197,Trắng,M,72,306181,
394,197,Đen,M,132,316325,
395,198,Đen,L,145,64397,
396,198,Đen,L,100,52385,
397,199,Đen,L,38,150295,
398,199,Đen,L,98,158819,
399,200,Đen,M,63,457674,
400,200,Đen,L,33,451588,
401,201,Đen,M,94,105328,
402,201,Trắng,L,121,101400,
403,202,Đen,M,41,117262,
404,202,Trắng,M,132,123309,
405,203,Trắng,L,53,185499,
406,203,Đen,L,106,188409,
407,204,Đen,M,75,252516,
408,204,Trắng,M,49,255129,
409,205,Trắng,M,114,314570,
410,205,Đen,L,76,316622,
411,206,Trắng,L,58,56047,
412,206,Trắng,M,130,64247,
413,207,Trắng,M,80,150338,
414,207,Trắng,M,72,145921,
415,208,Đen,L,64,451363,
416,208,Trắng,L,94,458374,
417,209,Trắng,L,69,98805,
418,209,Đen,M,141,95733,
419,210,Đen,M,142,123017,
420,210,Trắng,M,140,122410,
421,211,Trắng,M,143,187793,
422,211,Đen,M,46,192928,
423,212,Đen,M,62,257071,
424,212,Đen,M,123,258187,
425,213,Đen,L,116,309632,
426,213,Trắng,L,74,305089,
427,214,Đen,M,114,58812,
428,214,Đen,M,63,62672,
429,215,Trắng,L,79,157899,
430,215,Trắng,L,29,150435,
431,216,Trắng,L,149,456927,
432,216,Trắng,L,142,447407,
433,217,Trắng,L,28,102013,
434,217,Trắng,L,26,101444,
435,218,Trắng,L,99,124758,
436,218,Trắng,M,104,128472,
437,219,Đen,L,81,192787,
438,219,Đen,L,94,186197,
439,220,Đen,L,128,258247,
440,220,Đen,M,85,247448,
441,221,Đen,L,103,309497,
442,221,Trắng,L,23,309139,
443,222,Đen,L,149,57483,
444,222,Trắng,M,60,56127,
445,223,Đen,L,103,146298,
446,223,Trắng,L,90,147702,
447,224,Trắng,M,83,457718,
448,224,Đen,M,85,446093,
449,225,Đen,M,20,101200,
450,225,Trắng,L,45,94974,
451,226,Trắng,M,51,122759,
452,226,Trắng,L,78,121751,
453,227,Đen,M,116,183394,
454,227,Đen,M,69,185797,
455,228,Đen,M,67,258859,
456,228,Đen,L,58,250662,
457,229,Trắng,L,96,314118,
458,229,Đen,M,146,313374,
459,230,Trắng,M,54,55581,
460,230,Trắng,M,81,52480,
461,231,Đen,M,74,146109,
462,231,Trắng,L,40,152658,
463,232,Trắng,L,80,453523,
464,232,Đen,L,77,448359,
465,233,Đen,M,34,102058,
466,233,Đen,M,67,105682,
467,234,Đen,M,56,126960,
468,234,Trắng,L,60,119217,
469,235,Trắng,M,92,180975,
470,235,Trắng,M,114,194079,
471,236,Trắng,M,137,254554,
472,236,Trắng,L,31,257166,
473,237,Đen,L,21,305554,
474,237,Trắng,L,135,308727,
475,238,Đen,L,76,56077,
476,238,Đen,M,85,56659,
477,239,Đen,M,57,145141,
478,239,Đen,M,112,150110,
479,240,Trắng,L,139,446815,
480,240,Đen,M,149,457109,
481,241,Trắng,M,121,101878,
482,241,Trắng,M,40,96796,
483,242,Đen,M,149,122817,
484,242,Đen,L,31,125097,
485,243,Đen,M,53,186689,
486,243,Đen,M,47,189542,
487,244,Đen,L,121,258483,
488,244,Đen,L,67,251163,
489,245,Trắng,L,50,316354,
490,245,Trắng,M,109,307703,
491,246,Đen,M,23,52832,
492,246,Trắng,L,97,55102,
493,247,Đen,M,146,151369,
494,247,Trắng,L,83,153788,
495,248,Trắng,L,100,454385,
496,248,Đen,L,72,457681,
497,249,Trắng,M,125,104012,
498,249,Đen,L,112,101053,
499,250,Đen,M,43,115112,
500,250,Đen,M,148,125450,
501,251,Trắng,M,98,183179,
502,251,Trắng,L,93,182131,
503,252,Đen,M,146,254095,
504,252,Trắng,M,105,254772,
505,253,Đen,M,104,318065,
506,253,Đen,L,58,306918,
507,254,Trắng,L,140,57355,
508,254,Trắng,M,39,50018,
509,255,Đen,L,22,151663,
510,255,Đen,M,33,150557,
511,256,Trắng,L,124,447225,
512,256,Trắng,L,106,448556,
513,257,Đen,L,100,102540,
514,257,Trắng,L,47,101081,
515,258,Trắng,L,36,117754,
516,258,Trắng,M,62,126851,
517,259,Trắng,L,145,193809,
518,259,Đen,L,141,185969,
519,260,Trắng,M,42,252633,
520,260,Đen,M,53,257020,
521,261,Đen,M,116,308324,
522,261,Đen,M,131,313574,
523,262,Đen,L,127,60591,
524,262,Trắng,L,140,53521,
525,263,Đen,M,136,157924,
526,263,Đen,M,40,155536,
527,264,Đen,L,36,454384,
528,264,Đen,M,142,452111,
529,265,Trắng,L,46,108956,
530,265,Trắng,M,31,106574,
531,266,Trắng,L,133,126029,
532,266,Đen,M,91,119045,
533,267,Trắng,L,132,192264,
534,267,Trắng,M,26,181929,
535,268,Trắng,M,79,253036,
536,268,Trắng,M,116,258801,
537,269,Đen,L,120,309379,
538,269,Trắng,L,131,312972,
539,270,Đen,M,51,62435,
540,270,Đen,M,101,60468,
541,271,Đen,M,52,155914,
542,271,Đen,L,22,152358,
543,272,Đen,M,76,457730,
544,272,Trắng,M,109,458293,
545,273,Trắng,L,120,102443,
546,273,Trắng,L,57,96067,
547,274,Trắng,M,31,127940,
548,274,Trắng,L,49,117095,
549,275,Đen,M,33,188299,
550,275,Trắng,L,83,191556,
551,276,Trắng,L,74,252199,
552,276,Trắng,L,24,254660,
553,277,Trắng,L,124,308378,
554,277,Trắng,L,36,311803,
555,278,Đen,M,143,55643,
556,278,Trắng,M,55,63985,
557,279,Đen,M,64,156346,
558,279,Trắng,L,32,145884,
559,280,Trắng,M,47,457212,
560,280,Trắng,M,28,452028,
561,281,Trắng,M,104,99938,
562,281,Đen,L,62,102687,
563,282,Trắng,L,68,129379,
564,282,Đen,L,44,119399,
565,283,Đen,M,79,194295,
566,283,Trắng,M,118,188787,
567,284,Đen,M,144,250379,
568,284,Đen,M,120,257811,
569,285,Trắng,L,108,309310,
570,285,Đen,L,149,305633,
571,286,Đen,L,146,54719,
572,286,Trắng,M,68,64245,
573,287,Trắng,L,104,147538,
574,287,Đen,M,145,159955,
575,288,Đen,L,146,452708,
576,288,Đen,L,43,457546,
577,289,Trắng,L,24,104758,
578,289,Đen,M,100,101194,
579,290,Trắng,L,68,117361,
580,290,Đen,M,58,120366,
581,291,Trắng,M,106,188054,
582,291,Trắng,M,136,186117,
583,292,Trắng,L,76,256488,
584,292,Trắng,L,85,248535,
585,293,Trắng,L,77,318024,
586,293,Đen,L,26,316918,
587,294,Đen,L,28,57235,
588,294,Trắng,M,97,51837,
589,295,Trắng,L,149,158194,
590,295,Trắng,M,28,149975,
591,296,Trắng,M,147,454298,
592,296,Đen,M,94,454703,
593,297,Trắng,L,88,107284,
594,297,Trắng,M,40,96479,
595,298,Trắng,M,97,115127,
596,298,Trắng,L,111,126178,
597,299,Trắng,L,124,190208,
598,299,Đen,M,76,192152,
599,300,Trắng,L,85,249760,
600,300,Đen,L,150,248222,
601,301,Trắng,L,144,309602,
602,301,Trắng,L,132,317812,
603,302,Trắng,M,113,57226,
604,302,Đen,M,46,58695,
605,303,Đen,L,73,149236,
606,303,Đen,L,25,158596,
607,304,Đen,L,96,448876,
608,304,Đen,M,57,445423,
609,305,Trắng,L,112,98642,
610,305,Trắng,L,56,103511,
611,306,Trắng,L,92,126849,
612,306,Đen,L,101,117935,
613,307,Trắng,L,89,187149,
614,307,Trắng,L,89,193700,
615,308,Trắng,L,75,259100,
616,308,Trắng,L,118,255374,
617,309,Đen,M,65,318813,
618,309,Đen,L,101,309991,
619,310,Trắng,L,136,59581,
620,310,Đen,M,100,60068,
621,311,Đen,M,29,146276,
622,311,Đen,M,45,156010,
623,312,Đen,M,20,457716,
624,312,Đen,M,68,453944,
625,313,Đen,M,28,97892,
626,313,Trắng,L,142,99885,
627,314,Đen,L,72,115818,
628,314,Đen,L,115,129065,
629,315,Đen,L,45,191499,
630,315,Đen,L,106,186338,
631,316,Trắng,M,95,255915,
632,316,Đen,L,116,257490,
633,317,Đen,M,77,307251,
634,317,Trắng,L,143,313366,
635,318,Trắng,L,39,58600,
636,318,Đen,M,20,60015,
637,319,Đen,L,138,147234,
638,319,Trắng,M,78,146039,
639,320,Đen,L,44,449845,
640,320,Đen,M,41,450168,
641,321,Đen,M,54,103936,
642,321,Trắng,M,30,107240,
643,322,Đen,M,131,124277,
644,322,Đen,M,39,121224,
645,323,Đen,M,69,189101,
646,323,Trắng,M,34,190554,
647,324,Trắng,L,54,249017,
648,324,Trắng,M,109,253141,
649,325,Trắng,M,107,307549,
650,325,Đen,L,121,310707,
651,326,Đen,L,60,50930,
652,326,Đen,L,89,64349,
653,327,Trắng,L,130,149305,
654,327,Trắng,L,44,156128,
655,328,Trắng,M,120,457604,
656,328,Đen,M,122,446303,
657,329,Trắng,L,65,107255,
658,329,Trắng,L,133,102800,
659,330,Trắng,L,134,116817,
660,330,Trắng,L,116,123257,
661,331,Trắng,L,61,180147,
662,331,Trắng,L,90,189735,
663,332,Đen,L,77,259768,
664,332,Trắng,M,34,247306,
665,333,Đen,M,142,310120,
666,333,Đen,M,55,316776,
667,334,Trắng,L,26,55337,
668,334,Trắng,M,61,59704,
669,335,Trắng,L,102,145929,
670,335,Trắng,L,21,146383,
671,336,Đen,L,33,455040,
672,336,Trắng,M,133,449609,
673,337,Trắng,L,120,102817,
674,337,Đen,L,104,97001,
675,338,Đen,M,37,122394,
676,338,Trắng,M,91,125234,
677,339,Trắng,L,77,192198,
678,339,Đen,M,90,187022,
679,340,Trắng,M,74,257701,
680,340,Trắng,L,69,252903,
681,341,Trắng,M,102,308382,
682,341,Trắng,M,90,318023,
683,342,Trắng,M,40,53753,
684,342,Đen,M,49,52396,
685,343,Đen,L,44,158205,
686,343,Đen,M,101,150283,
687,344,Trắng,L,82,449397,
688,344,Trắng,M,119,458892,
689,345,Đen,M,40,98207,
690,345,Trắng,M,46,94758,
691,346,Đen,L,75,117666,
692,346,Trắng,L,89,126943,
693,347,Trắng,M,119,186936,
694,347,Trắng,L,149,190583,
695,348,Trắng,M,67,251829,
696,348,Đen,L,98,259260,
697,349,Trắng,M,114,312369,
698,349,Đen,L,48,314556,
699,350,Đen,M,130,54778,
700,350,Trắng,L,54,59336,
701,351,Đen,L,116,158746,
702,351,Trắng,M,97,157401,
703,352,Trắng,L,116,446659,
704,352,Trắng,L,64,455405,
705,353,Đen,M,40,104518,
706,353,Trắng,L,57,99444,
707,354,Trắng,L,125,121969,
708,354,Đen,L,87,127726,
709,355,Đen,M,72,188906,
710,355,Đen,M,55,190125,
711,356,Trắng,L,40,257537,
712,356,Trắng,M,54,258464,
713,357,Đen,M,114,312900,
714,357,Trắng,L,87,307867,
715,358,Đen,M,22,55468,
716,358,Trắng,L,99,61726,
717,359,Đen,L,36,155540,
718,359,Trắng,L,47,146934,
719,360,Trắng,L,139,456578,
720,360,Đen,M,113,446775,
721,361,Trắng,L,27,102905,
722,361,Trắng,M,117,96134,
723,362,Trắng,M,77,122203,
724,362,Trắng,M,131,115969,
725,363,Đen,M,124,183267,
726,363,Trắng,L,60,181241,
727,364,Đen,L,50,255277,
728,364,Trắng,L,38,253109,
729,365,Trắng,L,26,305557,
730,365,Trắng,M,107,313661,
731,366,Trắng,M,105,52023,
732,366,Đen,M,52,61328,
733,367,Đen,L,39,151174,
734,367,Đen,L,54,154065,
735,368,Đen,M,120,446047,
736,368,Đen,L,48,450439,
737,369,Trắng,L,96,98366,
738,369,Đen,M,119,102326,
739,370,Trắng,M,50,126344,
740,370,Đen,L,131,121688,
741,371,Đen,L,54,185774,
742,371,Đen,M,117,190457,
743,372,Trắng,M,132,254355,
744,372,Trắng,L,80,245294,
745,373,Đen,M,71,311045,
746,373,Đen,M,122,317569,
747,374,Trắng,L,37,54941,
748,374,Trắng,M,82,50464,
749,375,Trắng,M,62,156593,
750,375,Đen,M,139,152725,
751,376,Trắng,M,37,452706,
752,376,Đen,M,135,458061,
753,377,Trắng,L,124,105781,
754,377,Trắng,L,68,98358,
755,378,Đen,L,21,127850,
756,378,Trắng,L,89,116292,
757,379,Trắng,L,64,191457,
758,379,Trắng,L,61,194660,
759,380,Đen,M,90,247988,
760,380,Đen,M,39,258054,
761,381,Trắng,L,140,310527,
762,381,Trắng,M,22,319061,
763,382,Đen,L,76,63617,
764,382,Trắng,L,104,55055,
765,383,Trắng,M,109,147049,
766,383,Đen,M,129,157374,
767,384,Trắng,M,35,447302,
768,384,Đen,M,121,449988,
769,385,Đen,L,54,95080,
770,385,Trắng,M,125,108088,
771,386,Đen,M,88,123583,
772,386,Trắng,M,52,123031,
773,387,Trắng,M,117,189182,
774,387,Đen,M,111,194945,
775,388,Đen,M,56,245084,
776,388,Trắng,L,31,250933,
777,389,Đen,L,123,319912,
778,389,Trắng,M,92,309637,
779,390,Trắng,L,143,58059,
780,390,Đen,L,94,63989,
781,391,Trắng,M,31,158962,
782,391,Trắng,L,109,158378,
783,392,Đen,L,82,451104,
784,392,Trắng,M,24,452634,
785,393,Đen,L,26,101078,
786,393,Đen,L,96,95413,
787,394,Đen,M,68,117277,
788,394,Đen,L,44,122641,
789,395,Trắng,L,86,186734,
790,395,Đen,L,119,185385,
791,396,Trắng,L,92,245458,
792,396,Đen,L,67,256260,
793,397,Trắng,M,20,317759,
794,397,Trắng,M,86,319665,
795,398,Trắng,L,80,62432,
796,398,Trắng,L,75,52187,
797,399,Đen,L,51,151369,
798,399,Đen,L,39,156394,
799,400,Trắng,L,79,452196,
800,400,Trắng,M,92,451994,
801,401,Trắng,M,144,97034,
802,401,Đen,M,127,107103,
803,402,Trắng,M,23,119234,
804,402,Trắng,M,90,129774,
805,403,Đen,L,75,185050,
806,403,Đen,M,115,181274,
807,404,Đen,M,56,249943,
808,404,Trắng,L,73,249021,
809,405,Trắng,M,128,317690,
810,405,Trắng,L,88,307200,
811,406,Trắng,L,140,62757,
812,406,Trắng,M,132,63198,
813,407,Đen,L,138,148050,
814,407,Đen,L,79,151998,
815,408,Đen,M,34,456289,
816,408,Trắng,L,95,446650,
817,409,Trắng,M,65,95485,
818,409,Đen,M,147,97513,
819,410,Trắng,L,28,128942,
820,410,Đen,M,40,118342,
821,411,Đen,L,125,182263,
822,411,Đen,L,109,187363,
823,412,Đen,M,124,251173,
824,412,Đen,M,27,245151,
825,413,Đen,L,54,305094,
826,413,Trắng,L,25,305026,
827,414,Trắng,M,50,61049,
828,414,Đen,M,68,59521,
829,415,Trắng,L,42,156422,
830,415,Trắng,L,106,150110,
831,416,Trắng,L,21,449310,
832,416,Trắng,M,44,452099,
833,417,Đen,L,107,96290,
834,417,Đen,L,67,102463,
835,418,Đen,L,100,122523,
836,418,Đen,M,83,128525,
837,419,Trắng,L,125,188614,
838,419,Trắng,M,58,186374,
839,420,Trắng,M,78,247307,
840,420,Trắng,L,103,252518,
841,421,Trắng,L,34,310946,
842,421,Trắng,L,24,317374,
843,422,Đen,L,84,60648,
844,422,Trắng,L,118,54408,
845,423,Đen,M,100,153537,
